race_id,horse,finish_position,decimal_odds,date,win_payout,place_payout
0,1,10,9.7,1997-06-02,,
0,2,8,16.0,1997-06-02,,
0,3,7,3.5,1997-06-02,,
0,4,9,39.0,1997-06-02,,
0,5,6,50.0,1997-06-02,,
0,6,3,7.0,1997-06-02,,1.8
0,7,12,99.0,1997-06-02,,
0,8,1,12.0,1997-06-02,12.1,3.65
0,9,13,38.0,1997-06-02,,
0,10,14,39.0,1997-06-02,,
0,11,2,8.6,1997-06-02,,2.55
0,12,4,23.0,1997-06-02,,
0,13,11,5.4,1997-06-02,,
0,14,5,11.0,1997-06-02,,
1,1,12,14.0,1997-06-02,,
1,2,10,28.0,1997-06-02,,
1,3,8,7.0,1997-06-02,,
1,4,3,12.0,1997-06-02,,3.35
1,5,1,2.3,1997-06-02,2.35,1.25
1,6,11,28.0,1997-06-02,,
1,7,14,13.0,1997-06-02,,
1,8,5,43.0,1997-06-02,,
1,9,9,14.0,1997-06-02,,
1,10,4,10.0,1997-06-02,,
1,11,13,50.0,1997-06-02,,
1,12,7,21.0,1997-06-02,,
1,13,2,13.0,1997-06-02,,4.7
1,14,6,47.0,1997-06-02,,
2,1,2,9.2,1997-06-02,,2.3
2,2,10,99.0,1997-06-02,,
2,3,12,81.0,1997-06-02,,
2,4,6,3.5,1997-06-02,,
2,5,7,4.4,1997-06-02,,
2,6,8,65.0,1997-06-02,,
2,7,11,99.0,1997-06-02,,
2,8,4,6.7,1997-06-02,,
2,9,9,7.9,1997-06-02,,
2,10,5,16.0,1997-06-02,,
2,11,1,7.0,1997-06-02,7.0,2.3
2,12,13,45.0,1997-06-02,,
2,13,3,22.0,1997-06-02,,5.95
2,14,14,99.0,1997-06-02,,
3,1,5,15.0,1997-06-02,,
3,2,6,11.0,1997-06-02,,
3,3,2,8.2,1997-06-02,,2.45
3,4,11,44.0,1997-06-02,,
3,5,1,5.2,1997-06-02,5.2,1.4
3,6,10,36.0,1997-06-02,,
3,7,4,15.0,1997-06-02,,
3,8,7,2.9,1997-06-02,,
3,9,9,15.0,1997-06-02,,
3,10,3,5.1,1997-06-02,,1.6
3,11,8,74.0,1997-06-02,,
3,12,12,68.0,1997-06-02,,
4,1,3,5.2,1997-06-02,,1.75
4,2,1,3.6,1997-06-02,3.65,1.55
4,3,5,8.2,1997-06-02,,
4,4,11,28.0,1997-06-02,,
4,5,6,33.0,1997-06-02,,
4,6,12,43.0,1997-06-02,,
4,7,4,12.0,1997-06-02,,
4,8,7,13.0,1997-06-02,,
4,9,8,6.1,1997-06-02,,
4,10,2,11.0,1997-06-02,,2.8
4,11,10,19.0,1997-06-02,,
4,12,9,31.0,1997-06-02,,
4,13,13,99.0,1997-06-02,,
4,14,14,25.0,1997-06-02,,
5,1,6,17.0,1997-06-02,,
5,2,10,1.8,1997-06-02,,
5,3,5,28.0,1997-06-02,,
5,4,4,11.0,1997-06-02,,
5,5,8,13.0,1997-06-02,,
5,6,13,99.0,1997-06-02,,
5,7,12,99.0,1997-06-02,,
5,8,3,32.0,1997-06-02,,7.0
5,9,1,6.1,1997-06-02,6.1,1.65
5,10,9,8.5,1997-06-02,,
5,11,11,37.0,1997-06-02,,
5,12,14,99.0,1997-06-02,,
5,13,7,22.0,1997-06-02,,
5,14,2,99.0,1997-06-02,,40.8
6,1,7,6.3,1997-06-02,,
6,2,8,16.0,1997-06-02,,
6,3,6,5.7,1997-06-02,,
6,4,12,5.1,1997-06-02,,
6,5,1,16.0,1997-06-02,16.05,4.15
6,6,3,31.0,1997-06-02,,7.9
6,7,2,8.6,1997-06-02,,2.15
6,8,5,52.0,1997-06-02,,
6,9,10,56.0,1997-06-02,,
6,10,4,2.7,1997-06-02,,
6,11,11,99.0,1997-06-02,,
6,12,9,99.0,1997-06-02,,
7,1,8,11.0,1997-06-02,,
7,2,9,36.0,1997-06-02,,
7,3,2,21.0,1997-06-02,,4.45
7,4,5,26.0,1997-06-02,,
7,6,4,24.0,1997-06-02,,
7,7,12,2.7,1997-06-02,,
7,8,3,6.3,1997-06-02,,1.8
7,9,11,22.0,1997-06-02,,
7,10,10,22.0,1997-06-02,,
7,11,13,71.0,1997-06-02,,
7,12,6,17.0,1997-06-02,,
7,13,1,7.0,1997-06-02,7.05,2.35
7,14,7,6.6,1997-06-02,,
8,1,7,15.0,1997-06-02,,
8,2,3,10.0,1997-06-02,,3.35
8,3,4,20.0,1997-06-02,,
8,4,9,11.0,1997-06-02,,
8,5,2,4.9,1997-06-02,,1.65
8,6,11,55.0,1997-06-02,,
8,7,1,2.4,1997-06-02,2.4,1.25
8,8,14,60.0,1997-06-02,,
8,9,5,6.5,1997-06-02,,
8,10,6,67.0,1997-06-02,,
8,11,8,99.0,1997-06-02,,
8,12,13,99.0,1997-06-02,,
8,13,10,13.0,1997-06-02,,
8,14,12,99.0,1997-06-02,,
9,1,1,20.0,1997-06-02,20.3,4.95
9,2,13,19.0,1997-06-02,,
9,3,8,12.0,1997-06-02,,
9,4,7,8.6,1997-06-02,,
9,5,11,19.0,1997-06-02,,
9,6,3,3.3,1997-06-02,,1.4
9,7,4,16.0,1997-06-02,,
9,8,12,72.0,1997-06-02,,
9,9,9,4.0,1997-06-02,,
9,10,14,75.0,1997-06-02,,
9,11,10,8.5,1997-06-02,,
9,12,6,25.0,1997-06-02,,
9,13,2,15.0,1997-06-02,,4.55
9,14,5,99.0,1997-06-02,,
10,1,3,4.3,1997-06-04,,1.5
10,2,1,5.0,1997-06-04,5.0,1.85
10,3,10,79.0,1997-06-04,,
10,4,4,13.0,1997-06-04,,
10,5,12,36.0,1997-06-04,,
10,6,7,5.1,1997-06-04,,
10,7,2,7.9,1997-06-04,,2.75
10,8,5,28.0,1997-06-04,,
10,9,6,8.8,1997-06-04,,
10,10,11,15.0,1997-06-04,,
10,11,9,8.4,1997-06-04,,
10,12,8,74.0,1997-06-04,,
11,1,12,6.3,1997-06-04,,
11,2,1,5.9,1997-06-04,5.9,2.35
11,3,10,5.1,1997-06-04,,
11,4,3,8.4,1997-06-04,,2.65
11,5,6,15.0,1997-06-04,,
11,6,8,42.0,1997-06-04,,
11,7,5,30.0,1997-06-04,,
11,8,7,20.0,1997-06-04,,
11,9,2,5.2,1997-06-04,,1.8
11,10,11,34.0,1997-06-04,,
11,11,9,8.4,1997-06-04,,
11,12,4,16.0,1997-06-04,,
12,1,1,3.5,1997-06-04,3.5,1.4
12,2,9,62.0,1997-06-04,,
12,3,8,14.0,1997-06-04,,
12,4,7,9.0,1997-06-04,,
12,5,11,8.4,1997-06-04,,
12,6,2,6.2,1997-06-04,,2.3
12,7,3,4.5,1997-06-04,,1.55
12,8,4,15.0,1997-06-04,,
12,9,6,26.0,1997-06-04,,
12,10,5,16.0,1997-06-04,,
12,11,10,16.0,1997-06-04,,
12,12,12,99.0,1997-06-04,,
13,1,1,7.0,1997-06-04,7.0,1.75
13,2,4,21.0,1997-06-04,,
13,3,7,12.0,1997-06-04,,
13,4,6,30.0,1997-06-04,,
13,5,2,1.7,1997-06-04,,1.01
13,6,11,99.0,1997-06-04,,
13,7,12,15.0,1997-06-04,,
13,8,3,7.7,1997-06-04,,1.75
13,9,8,45.0,1997-06-04,,
13,10,10,22.0,1997-06-04,,
13,11,9,34.0,1997-06-04,,
13,12,5,28.0,1997-06-04,,
14,1,6,39.0,1997-06-04,,
14,2,9,14.0,1997-06-04,,
14,3,2,16.0,1997-06-04,,3.4
14,4,8,33.0,1997-06-04,,
14,5,5,22.0,1997-06-04,,
14,6,11,2.3,1997-06-04,,
14,7,12,5.8,1997-06-04,,
14,8,10,23.0,1997-06-04,,
14,9,7,7.3,1997-06-04,,
14,10,3,7.9,1997-06-04,,2.2
14,11,4,21.0,1997-06-04,,
14,12,1,26.0,1997-06-04,26.55,9.1
16,1,6,12.0,1997-06-04,,
16,2,7,10.0,1997-06-04,,
16,3,11,30.0,1997-06-04,,
16,4,9,7.7,1997-06-04,,
16,5,5,18.0,1997-06-04,,
16,6,8,27.0,1997-06-04,,
16,7,3,3.1,1997-06-04,,1.55
16,8,2,11.0,1997-06-04,,3.5
16,9,4,39.0,1997-06-04,,
16,10,10,23.0,1997-06-04,,
16,11,1,5.6,1997-06-04,5.6,1.55
16,12,12,7.9,1997-06-04,,
17,1,1,3.3,1997-06-04,3.35,1.55
17,2,9,14.0,1997-06-04,,
17,3,7,17.0,1997-06-04,,
17,4,6,41.0,1997-06-04,,
17,5,8,16.0,1997-06-04,,
17,6,12,38.0,1997-06-04,,
17,7,2,7.4,1997-06-04,,2.05
17,8,5,3.4,1997-06-04,,
17,9,10,39.0,1997-06-04,,
17,10,11,31.0,1997-06-04,,
17,11,3,7.4,1997-06-04,,2.8
17,12,4,15.0,1997-06-04,,
18,1,3,13.0,1997-06-08,,3.45
18,2,6,6.8,1997-06-08,,
18,3,1,14.0,1997-06-08,14.1,4.0
18,4,8,19.0,1997-06-08,,
18,5,2,3.2,1997-06-08,,1.3
18,7,5,3.6,1997-06-08,,
18,8,7,4.4,1997-06-08,,
18,9,4,36.0,1997-06-08,,
18,10,9,29.0,1997-06-08,,
19,1,3,8.4,1997-06-08,,2.1
19,2,6,11.0,1997-06-08,,
19,3,7,27.0,1997-06-08,,
19,4,9,4.2,1997-06-08,,
19,5,5,9.9,1997-06-08,,
19,6,10,69.0,1997-06-08,,
19,7,1,10.0,1997-06-08,10.6,2.8
19,8,8,48.0,1997-06-08,,
19,9,4,2.9,1997-06-08,,
19,10,2,6.2,1997-06-08,,2.15
20,1,9,12.0,1997-06-08,,
20,2,10,7.9,1997-06-08,,
20,3,3,11.0,1997-06-08,,3.85
20,4,8,80.0,1997-06-08,,
20,6,6,2.9,1997-06-08,,
20,7,5,3.7,1997-06-08,,
20,8,2,10.0,1997-06-08,,3.8
20,9,1,18.0,1997-06-08,18.1,3.55
20,10,4,28.0,1997-06-08,,
20,11,7,8.8,1997-06-08,,
21,1,3,14.0,1997-06-08,,3.4
21,2,4,8.3,1997-06-08,,
21,3,6,12.0,1997-06-08,,
21,4,7,46.0,1997-06-08,,
21,5,1,7.0,1997-06-08,7.0,2.0
21,6,2,4.6,1997-06-08,,1.75
21,7,9,73.0,1997-06-08,,
21,8,5,2.3,1997-06-08,,
21,9,10,20.0,1997-06-08,,
21,10,8,12.0,1997-06-08,,
22,1,9,59.0,1997-06-08,,
22,2,4,6.0,1997-06-08,,
22,3,3,11.0,1997-06-08,,3.35
22,4,5,16.0,1997-06-08,,
22,5,12,28.0,1997-06-08,,
22,6,2,7.3,1997-06-08,,2.15
22,7,6,13.0,1997-06-08,,
22,8,14,27.0,1997-06-08,,
22,9,1,4.6,1997-06-08,4.6,1.9
22,10,8,10.0,1997-06-08,,
22,11,7,9.8,1997-06-08,,
22,12,11,9.9,1997-06-08,,
22,13,10,17.0,1997-06-08,,
22,14,13,44.0,1997-06-08,,
23,1,10,15.0,1997-06-08,,
23,2,1,6.3,1997-06-08,6.3,1.85
23,3,2,2.3,1997-06-08,,1.35
23,4,5,16.0,1997-06-08,,
23,5,11,30.0,1997-06-08,,
23,6,12,16.0,1997-06-08,,
23,7,7,15.0,1997-06-08,,
23,8,9,26.0,1997-06-08,,
23,9,6,11.0,1997-06-08,,
23,10,14,20.0,1997-06-08,,
23,11,4,16.0,1997-06-08,,
23,12,3,25.0,1997-06-08,,5.25
23,13,13,74.0,1997-06-08,,
23,14,8,18.0,1997-06-08,,
24,1,2,10.0,1997-06-08,,2.15
24,2,3,14.0,1997-06-08,,3.6
24,3,6,5.2,1997-06-08,,
24,4,4,3.3,1997-06-08,,
24,5,7,23.0,1997-06-08,,
24,7,8,29.0,1997-06-08,,
24,8,1,2.6,1997-06-08,2.65,1.25
24,9,5,13.0,1997-06-08,,
24,10,9,47.0,1997-06-08,,
25,1,9,83.0,1997-06-08,,
25,2,11,14.0,1997-06-08,,
25,3,8,37.0,1997-06-08,,
25,4,4,9.0,1997-06-08,,
25,5,2,13.0,1997-06-08,,3.0
25,6,5,4.9,1997-06-08,,
25,7,3,9.6,1997-06-08,,3.2
25,8,12,99.0,1997-06-08,,
25,9,1,2.5,1997-06-08,2.55,1.25
25,10,7,8.8,1997-06-08,,
25,11,6,11.0,1997-06-08,,
25,12,10,99.0,1997-06-08,,
27,1,10,45.0,1997-06-08,,
27,2,8,1.7,1997-06-08,,
27,3,12,74.0,1997-06-08,,
27,4,2,9.6,1997-06-08,,2.15
27,5,1,14.0,1997-06-08,14.75,3.1
27,6,3,15.0,1997-06-08,,3.25
27,7,4,10.0,1997-06-08,,
27,8,7,46.0,1997-06-08,,
27,9,13,21.0,1997-06-08,,
27,10,11,30.0,1997-06-08,,
27,11,14,77.0,1997-06-08,,
27,12,9,14.0,1997-06-08,,
27,13,5,15.0,1997-06-08,,
27,14,6,66.0,1997-06-08,,
28,1,1,9.3,1997-06-11,9.3,2.35
28,2,7,39.0,1997-06-11,,
28,3,3,5.6,1997-06-11,,2.1
28,4,4,4.4,1997-06-11,,
28,5,2,10.0,1997-06-11,,2.8
28,6,9,16.0,1997-06-11,,
28,7,6,14.0,1997-06-11,,
28,8,5,10.0,1997-06-11,,
28,9,8,2.7,1997-06-11,,
29,1,9,13.0,1997-06-11,,
29,2,5,5.2,1997-06-11,,
29,4,4,30.0,1997-06-11,,
29,5,7,2.9,1997-06-11,,
29,6,2,13.0,1997-06-11,,3.55
29,7,10,52.0,1997-06-11,,
29,8,6,10.0,1997-06-11,,
29,9,3,9.4,1997-06-11,,2.95
29,10,1,9.6,1997-06-11,9.6,2.95
29,11,11,37.0,1997-06-11,,
29,12,8,7.1,1997-06-11,,
30,1,6,17.0,1997-06-11,,
